iter	Passed	Remaining
367	785	1348
368	787	1345
369	789	1343
370	791	1342
371	793	1340
372	796	1338
373	798	1336
374	800	1334
375	802	1331
376	804	1328
377	806	1326
378	808	1325
379	811	1323
380	813	1322
381	815	1319
382	817	1317
383	819	1315
384	822	1313
385	824	1311
386	826	1308
387	828	1306
388	830	1304
389	832	1302
390	834	1300
391	836	1298
392	839	1296
393	841	1295
394	843	1292
395	845	1289
396	847	1287
397	849	1284
398	851	1282
399	853	1279
400	855	1277
401	857	1274
402	858	1272
403	860	1269
404	862	1267
405	864	1264
406	866	1261
407	868	1259
408	869	1256
409	871	1254
410	873	1252
411	875	1249
412	877	1247
413	879	1244
414	881	1242
415	883	1240
416	885	1237
417	887	1235
418	889	1232
419	891	1230
420	893	1228
421	894	1225
422	897	1223
423	899	1221
424	901	1219
425	903	1217
426	905	1215
427	907	1212
428	909	1210
429	911	1208
430	913	1206
431	915	1203
432	917	1201
433	919	1199
434	921	1196
435	923	1194
436	925	1191
437	927	1189
438	929	1187
439	931	1185
440	933	1183
441	935	1180
442	937	1178
443	939	1176
444	941	1174
445	943	1172
446	945	1170
447	947	1168
448	950	1165
449	952	1163
450	954	1161
451	957	1160
452	959	1158
453	962	1156
454	963	1154
455	965	1152
456	968	1150
457	970	1148
458	972	1146
459	974	1144
460	977	1142
461	979	1140
462	981	1138
463	983	1136
464	985	1134
465	987	1131
466	989	1129
467	991	1127
468	993	1125
469	995	1122
470	997	1120
471	999	1118
472	1002	1116
473	1004	1114
474	1006	1112
475	1008	1110
476	1010	1108
477	1013	1106
478	1016	1105
479	1018	1103
480	1021	1101
481	1023	1099
482	1025	1097
483	1027	1095
484	1029	1092
485	1031	1090
486	1033	1088
487	1035	1086
488	1037	1084
489	1039	1081
490	1041	1079
491	1043	1076
492	1044	1074
493	1047	1072
494	1049	1070
495	1051	1068
496	1053	1066
497	1056	1064
498	1058	1062
499	1061	1061
500	1063	1059
501	1066	1057
502	1068	1055
503	1070	1053
504	1072	1051
505	1074	1049
506	1077	1047
507	1079	1045
508	1082	1043
509	1084	1041
510	1086	1039
511	1088	1037
512	1091	1035
513	1093	1033
514	1096	1032
515	1098	1030
516	1100	1028
517	1103	1026
518	1105	1024
519	1107	1022
520	1110	1020
521	1112	1018
522	1114	1016
523	1116	1014
524	1119	1012
525	1121	1010
526	1123	1008
527	1125	1006
528	1128	1004
529	1130	1002
530	1133	1000
531	1135	998
532	1137	997
533	1140	994
534	1142	992
535	1144	990
536	1146	988
537	1148	986
538	1151	984
539	1154	983
540	1156	980
541	1158	978
542	1160	976
543	1163	974
544	1165	972
545	1167	970
546	1169	968
547	1172	966
548	1174	964
549	1177	963
550	1179	961
551	1181	958
552	1184	957
553	1186	955
554	1188	953
555	1191	951
556	1193	949
557	1195	947
558	1197	945
559	1200	943
560	1202	941
561	1205	939
562	1207	937
563	1209	934
564	1211	932
565	1214	931
566	1216	929
567	1219	927
568	1222	925
569	1224	923
570	1227	922
571	1229	920
572	1231	917
573	1233	915
574	1236	913
575	1238	912
576	1241	910
577	1244	908
578	1246	906
579	1248	904
580	1251	902
581	1253	900
582	1256	898
583	1258	896
584	1261	894
585	1263	892
586	1265	890
587	1268	888
588	1270	886
589	1272	884
590	1275	882
591	1278	880
592	1280	878
593	1282	876
594	1284	874
595	1286	872
596	1289	870
597	1291	868
598	1293	866
599	1295	863
600	1298	861
601	1300	859
602	1302	857
603	1305	855
604	1307	853
605	1309	851
606	1312	849
607	1314	847
608	1317	845
609	1319	843
610	1321	841
611	1323	839
612	1326	837
613	1328	835
614	1330	833
615	1333	830
616	1335	829
617	1337	826
618	1340	825
619	1342	822
620	1345	820
621	1347	818
622	1349	816
623	1351	814
624	1354	812
625	1356	810
626	1359	808
627	1361	806
628	1363	804
629	1366	802
630	1369	800
631	1371	798
632	1373	796
633	1375	794
634	1377	792
635	1380	790
636	1383	788
637	1386	786
638	1388	784
639	1390	782
640	1392	780
641	1395	778
642	1397	776
643	1399	773
644	1402	771
645	1404	769
646	1406	767
647	1408	765
648	1410	763
649	1413	760
650	1415	759
651	1418	757
652	1421	755
653	1423	753
654	1426	751
655	1428	749
656	1431	747
657	1433	745
658	1436	743
659	1438	741
660	1441	739
661	1443	737
662	1445	734
663	1448	732
664	1450	730
665	1452	728
666	1454	726
667	1457	724
668	1459	722
669	1461	720
670	1464	717
671	1466	715
672	1469	713
673	1471	711
674	1473	709
675	1476	707
676	1478	705
677	1481	703
678	1483	701
679	1486	699
680	1488	697
681	1490	694
682	1492	692
683	1494	690
684	1496	688
685	1499	686
686	1501	684
687	1504	682
688	1507	680
689	1509	678
690	1512	676
691	1515	674
692	1517	672
693	1520	670
694	1522	668
695	1525	666
696	1527	664
697	1530	662
698	1532	660
699	1535	657
700	1537	655
701	1540	653
702	1542	651
703	1545	649
704	1547	647
705	1550	645
706	1552	643
707	1555	641
708	1557	639
709	1560	637
710	1562	635
711	1565	633
712	1567	630
713	1569	628
714	1572	626
715	1575	624
716	1577	622
717	1579	620
718	1582	618
719	1584	616
720	1587	614
721	1589	612
722	1592	610
723	1595	608
724	1597	606
725	1600	604
726	1603	602
727	1606	600
728	1608	598
729	1611	595
730	1613	593
731	1615	591
732	1618	589
733	1620	587
734	1623	585
735	1625	583
736	1628	580
737	1630	578
738	1632	576
739	1635	574
740	1637	572
741	1639	570
742	1641	567
743	1644	565
744	1646	563
745	1649	561
746	1652	559
747	1654	557
748	1656	555
749	1658	552
750	1661	550
751	1663	548
752	1666	546
753	1668	544
754	1670	542
755	1673	540
756	1675	537
757	1677	535
758	1680	533
759	1682	531
760	1684	529
761	1686	526
762	1688	524
763	1690	522
764	1692	519
765	1694	517
766	1697	515
767	1699	513
768	1701	511
769	1703	508
770	1705	506
771	1707	504
772	1709	502
773	1712	500
774	1714	497
775	1717	495
776	1719	493
777	1721	491
778	1724	489
779	1727	487
780	1729	484
781	1732	482
782	1734	480
783	1736	478
784	1738	476
785	1740	473
786	1742	471
787	1744	469
788	1747	467
789	1749	465
790	1752	463
791	1754	460
792	1756	458
793	1758	456
794	1760	454
795	1763	451
796	1765	449
797	1767	447
798	1769	445
799	1772	443
800	1774	440
801	1776	438
802	1779	436
803	1781	434
804	1783	432
805	1785	429
806	1787	427
807	1789	425
808	1791	423
809	1793	420
810	1795	418
811	1797	416
812	1799	413
813	1801	411
814	1804	409
815	1806	407
816	1809	405
817	1811	402
818	1812	400
819	1815	398
820	1817	396
821	1819	394
822	1821	391
823	1823	389
824	1825	387
825	1827	385
826	1830	382
827	1832	380
828	1834	378
829	1836	376
830	1838	373
831	1840	371
832	1842	369
833	1845	367
834	1848	365
835	1850	362
836	1852	360
837	1854	358
838	1856	356
839	1859	354
840	1861	351
841	1863	349
842	1866	347
843	1868	345
844	1870	343
845	1872	340
846	1874	338
847	1877	336
848	1879	334
849	1882	332
850	1884	329
851	1886	327
852	1888	325
853	1890	323
854	1892	321
855	1894	318
856	1896	316
857	1898	314
858	1900	311
859	1902	309
860	1904	307
861	1906	305
862	1908	303
863	1910	300
864	1912	298
865	1914	296
866	1916	293
867	1918	291
868	1919	289
869	1921	287
870	1924	284
871	1925	282
872	1927	280
873	1929	278
874	1931	275
875	1933	273
876	1935	271
877	1938	269
878	1940	267
879	1942	264
880	1944	262
881	1947	260
882	1949	258
883	1951	256
884	1954	253
885	1956	251
886	1958	249
887	1960	247
888	1962	244
889	1964	242
890	1966	240
891	1968	238
892	1970	236
893	1972	233
894	1974	231
895	1976	229
896	1978	227
897	1980	224
898	1982	222
899	1984	220
900	1986	218
901	1989	216
902	1991	213
903	1993	211
904	1996	209
905	1998	207
906	2000	205
907	2002	202
908	2004	200
909	2007	198
910	2009	196
911	2011	194
912	2014	191
913	2016	189
914	2018	187
915	2020	185
916	2022	183
917	2024	180
918	2026	178
919	2029	176
920	2031	174
921	2033	172
922	2036	169
923	2039	167
924	2041	165
925	2043	163
926	2045	161
927	2048	158
928	2050	156
929	2052	154
930	2054	152
931	2056	150
932	2059	147
933	2061	145
934	2064	143
935	2066	141
936	2068	139
937	2070	136
938	2073	134
939	2075	132
940	2076	130
941	2078	127
942	2080	125
943	2082	123
944	2084	121
945	2086	119
946	2088	116
947	2090	114
948	2092	112
949	2094	110
950	2096	108
951	2098	105
952	2100	103
953	2102	101
954	2104	99
955	2106	96
956	2108	94
957	2110	92
958	2112	90
959	2114	88
960	2116	85
961	2118	83
962	2120	81
963	2122	79
964	2124	77
965	2126	74
966	2128	72
967	2130	70
968	2133	68
969	2135	66
970	2137	63
971	2139	61
972	2141	59
973	2143	57
974	2144	54
975	2146	52
976	2148	50
977	2150	48
978	2152	46
979	2154	43
980	2156	41
981	2157	39
982	2159	37
983	2161	35
984	2163	32
985	2165	30
986	2167	28
987	2169	26
988	2171	24
989	2173	21
990	2175	19
991	2177	17
992	2179	15
993	2181	13
994	2183	10
995	2185	8
996	2187	6
997	2188	4
998	2190	2
999	2192	0
