iter	RMSE
339	1.354991923
340	1.353708628
341	1.352266142
342	1.35102669
343	1.349530142
344	1.34857489
345	1.346713344
346	1.344968154
347	1.343564326
348	1.342027445
349	1.340329935
350	1.339461088
351	1.337926428
352	1.336105232
353	1.335250276
354	1.333842024
355	1.332976908
356	1.331876412
357	1.330665798
358	1.329188077
359	1.328001588
360	1.326837709
361	1.325094775
362	1.323995185
363	1.322592368
364	1.32123511
365	1.320198494
366	1.319424146
367	1.317720282
368	1.316743967
369	1.315679538
370	1.314424052
371	1.313622445
372	1.312403897
373	1.311675779
374	1.310450235
375	1.309522385
376	1.308091219
377	1.306982746
378	1.306181527
379	1.305633654
380	1.304822839
381	1.303711431
382	1.302868201
383	1.301817242
384	1.301074023
385	1.300312226
386	1.299614621
387	1.298368187
388	1.297395606
389	1.2965683
390	1.295912544
391	1.294867411
392	1.294044799
393	1.293087863
394	1.292036733
395	1.291445322
396	1.290456005
397	1.290020198
398	1.289159275
399	1.288254577
400	1.28751881
401	1.286702836
402	1.285660019
403	1.284842862
404	1.284273512
405	1.282856716
406	1.282312363
407	1.281333181
408	1.280604208
409	1.279556913
410	1.278664798
411	1.278016923
412	1.277443225
413	1.276643494
414	1.276076501
415	1.275277052
416	1.274137046
417	1.273129007
418	1.272450469
419	1.271086019
420	1.27068282
421	1.269803269
422	1.269071448
423	1.268300542
424	1.267792481
425	1.26673853
426	1.266073804
427	1.265460475
428	1.265127237
429	1.264464784
430	1.263453857
431	1.262035752
432	1.260567451
433	1.259330915
434	1.258812503
435	1.257977263
436	1.257387531
437	1.255769333
438	1.255261596
439	1.254676577
440	1.254019169
441	1.252854203
442	1.252223773
443	1.25183187
444	1.250177672
445	1.249332928
446	1.248598165
447	1.247987703
448	1.246571714
449	1.245864642
450	1.244774964
451	1.243867664
452	1.242568845
453	1.241768576
454	1.241243346
455	1.240075655
456	1.239068247
457	1.238606668
458	1.238120626
459	1.237683945
460	1.236643795
461	1.236050427
462	1.23520592
463	1.233840558
464	1.233300413
465	1.232184339
466	1.231713374
467	1.231217286
468	1.23067158
469	1.230217589
470	1.229662458
471	1.228452741
472	1.227816149
473	1.226338758
474	1.225275998
475	1.224160403
476	1.223779882
477	1.223306563
478	1.222320322
479	1.221757174
480	1.221180427
481	1.220334502
482	1.219784698
483	1.218784594
484	1.218274861
485	1.217555553
486	1.217057116
487	1.216264334
488	1.21581912
489	1.215290552
490	1.214921392
491	1.21432938
492	1.213021396
493	1.212135162
494	1.210989326
495	1.210424734
496	1.209951361
497	1.208938751
498	1.208427892
499	1.207814139
500	1.206883405
501	1.206176193
502	1.205741771
503	1.205270865
504	1.204702179
505	1.20439086
506	1.203971835
507	1.20296515
508	1.202436405
509	1.20211548
510	1.201783055
511	1.200299389
512	1.199691049
513	1.19918708
514	1.198035828
515	1.197024412
516	1.196379108
517	1.195647841
518	1.195468873
519	1.194154226
520	1.193564671
521	1.193327168
522	1.192589964
523	1.191513134
524	1.190843528
525	1.189974801
526	1.189522057
527	1.189060896
528	1.188321862
529	1.187896535
530	1.187416837
531	1.186917162
532	1.186109369
533	1.185312942
534	1.184325833
535	1.183870182
536	1.183413924
537	1.182802941
538	1.182273716
539	1.181898716
540	1.181307057
541	1.180961711
542	1.180579364
543	1.18025043
544	1.179957333
545	1.179389863
546	1.178765465
547	1.178225248
548	1.177493236
549	1.177126943
550	1.176774927
551	1.176475955
552	1.176178997
553	1.175666515
554	1.175305164
555	1.174660448
556	1.174290825
557	1.173762742
558	1.173010136
559	1.172547836
560	1.172327904
561	1.171855677
562	1.171576128
563	1.170113216
564	1.169705807
565	1.169319289
566	1.168859636
567	1.168367693
568	1.168116518
569	1.167678695
570	1.167209081
571	1.166415275
572	1.165531058
573	1.165200998
574	1.164720714
575	1.164157825
576	1.163284752
577	1.162872064
578	1.161909378
579	1.161352735
580	1.160884097
581	1.160633261
582	1.160127702
583	1.159766953
584	1.159301494
585	1.158595291
586	1.158321434
587	1.157931235
588	1.157474642
589	1.157030905
590	1.156787782
591	1.156342569
592	1.156023879
593	1.155233899
594	1.154756451
595	1.154070968
596	1.153891747
597	1.152889762
598	1.151702184
599	1.151217538
600	1.150507486
601	1.149243791
602	1.148861607
603	1.148509117
604	1.147865792
605	1.146970922
606	1.146067451
607	1.145781896
608	1.145333893
609	1.144921523
610	1.144743499
611	1.143989265
612	1.143752947
613	1.143510369
614	1.143246876
615	1.142711776
616	1.142386448
617	1.14178068
618	1.141269727
619	1.140745656
620	1.140499264
621	1.140206097
622	1.139929989
623	1.13949917
624	1.138832841
625	1.138359355
626	1.137707504
627	1.136964701
628	1.1361534
629	1.135848953
630	1.135552144
631	1.134897032
632	1.134603452
633	1.134211074
634	1.133938294
635	1.133498605
636	1.133122449
637	1.132734705
638	1.132368094
639	1.131396635
640	1.131057496
641	1.130315348
642	1.129777533
643	1.129587846
644	1.129329781
645	1.129088146
646	1.128881733
647	1.128319528
648	1.127933072
649	1.127611744
650	1.127401197
651	1.126946046
652	1.126345493
653	1.125792196
654	1.125533077
655	1.125306862
656	1.12467217
657	1.124308108
658	1.123832511
659	1.123012681
660	1.122362023
661	1.122007908
662	1.121780885
663	1.121466169
664	1.120636299
665	1.120301235
666	1.119778331
667	1.119416208
668	1.119163211
669	1.118627267
670	1.117837776
671	1.116876834
672	1.11632217
673	1.116085141
674	1.115837963
675	1.115427438
676	1.115258775
677	1.11486791
678	1.114583898
679	1.114124455
680	1.113116342
681	1.11280557
682	1.112584787
683	1.112288669
684	1.11207468
685	1.111231041
686	1.110923882
687	1.110625019
688	1.110286378
689	1.109573359
690	1.109361131
691	1.109021993
692	1.108564049
693	1.108312886
694	1.108090498
695	1.10762694
696	1.10734129
697	1.107078934
698	1.106167503
699	1.105932883
700	1.10561263
701	1.104931355
702	1.104478163
703	1.104060115
704	1.103666957
705	1.103129574
706	1.102700227
707	1.10209151
708	1.101258279
709	1.100660041
710	1.100272799
711	1.10009978
712	1.099847139
713	1.099627034
714	1.099241834
715	1.098997009
716	1.098639677
717	1.098106085
718	1.097441674
719	1.097200531
720	1.096775117
721	1.096539136
722	1.096330408
723	1.09590062
724	1.095492577
725	1.09527945
726	1.094982664
727	1.094838714
728	1.094276993
729	1.09413603
730	1.093627964
731	1.093356401
732	1.093026867
733	1.092467423
734	1.092198582
735	1.091964696
736	1.091364594
737	1.091171253
738	1.090755652
739	1.090613066
740	1.090025182
741	1.089748009
742	1.08960915
743	1.088467907
744	1.08818672
745	1.087808355
746	1.087480577
747	1.087353773
748	1.086986125
749	1.086490423
750	1.08625852
751	1.085556094
752	1.085300969
753	1.085066874
754	1.084006883
755	1.083804684
756	1.083410203
757	1.083214779
758	1.08307892
759	1.082601363
760	1.082382297
761	1.082257387
762	1.081272096
763	1.081041499
764	1.079966356
765	1.079496261
766	1.0787764
767	1.078091016
768	1.077758113
769	1.076973944
770	1.075976186
771	1.075412972
772	1.075057773
773	1.074799724
774	1.074626111
775	1.074096755
776	1.07348962
777	1.073172831
778	1.072070213
779	1.071940705
780	1.071282182
781	1.071075288
782	1.070880419
783	1.070724112
784	1.070508642
785	1.070250314
786	1.069684524
787	1.069209593
788	1.068992123
789	1.068660896
790	1.06850792
791	1.068297406
792	1.067756024
793	1.067270957
794	1.066647105
795	1.066155122
796	1.065845286
797	1.065647255
798	1.065292183
799	1.065083859
800	1.064861147
801	1.064553623
802	1.063547547
803	1.063350666
804	1.06277784
805	1.062554175
806	1.062290968
807	1.061970665
808	1.061624549
809	1.061313703
810	1.061176486
811	1.060528435
812	1.059956138
813	1.059820264
814	1.059648065
815	1.059499936
816	1.05933427
817	1.058684817
818	1.058586566
819	1.05797727
820	1.057269228
821	1.056903633
822	1.05640418
823	1.056128712
824	1.055719257
825	1.055390143
826	1.054937885
827	1.054659561
828	1.054450096
829	1.054117458
830	1.054003165
831	1.053806686
832	1.053545979
833	1.053362064
834	1.052913916
835	1.052663491
836	1.052316823
837	1.051934722
838	1.051400348
839	1.051171204
840	1.050947751
841	1.050804154
842	1.050291146
843	1.050116488
844	1.049553846
845	1.04880185
846	1.04809655
847	1.047960179
848	1.047818551
849	1.047660967
850	1.046900237
851	1.046407198
852	1.046110167
853	1.045893613
854	1.045371106
855	1.044912443
856	1.044499989
857	1.043984627
858	1.04373986
859	1.043458954
860	1.043221406
861	1.042731751
862	1.042418301
863	1.041880521
864	1.041767223
865	1.041658914
866	1.04126169
867	1.04053046
868	1.040394376
869	1.040263034
870	1.03992619
871	1.03930049
872	1.039180381
873	1.038967931
874	1.038818964
875	1.038658104
876	1.03848121
877	1.038264142
878	1.038091663
879	1.037679135
880	1.037513375
881	1.037168169
882	1.036844623
883	1.036140076
884	1.035908356
885	1.035792723
886	1.035501717
887	1.035298091
888	1.034815703
889	1.034716494
890	1.034379667
891	1.034114812
892	1.033955967
893	1.033710663
894	1.033323136
895	1.033097332
896	1.032748053
897	1.031879613
898	1.031757773
899	1.031601603
900	1.031248093
901	1.030973051
902	1.030870528
903	1.0303225
904	1.030119184
905	1.029843222
906	1.029522363
907	1.029347516
908	1.029261606
909	1.029050642
910	1.027980788
911	1.027834564
912	1.02721512
913	1.02703519
914	1.026851579
915	1.026451155
916	1.025985016
917	1.025697141
918	1.025476346
919	1.025017042
920	1.02420096
921	1.02390649
922	1.02364025
923	1.023070144
924	1.022548643
925	1.021991721
926	1.021268864
927	1.020845038
928	1.020524653
929	1.020312009
930	1.019523425
931	1.019325998
932	1.019157216
933	1.018529076
934	1.018403404
935	1.018221557
936	1.017983968
937	1.017667501
938	1.017465006
939	1.01719642
940	1.017107162
941	1.01688821
942	1.016133534
943	1.015977571
944	1.015846337
945	1.015699822
946	1.01547272
947	1.015342245
948	1.015168857
949	1.01489521
950	1.014635893
951	1.014317364
952	1.013998634
953	1.01371656
954	1.013411606
955	1.013304243
956	1.013012435
957	1.012789775
958	1.012193936
959	1.012008095
960	1.011571035
961	1.011235253
962	1.010975228
963	1.010699479
964	1.010300945
965	1.010071273
966	1.009904909
967	1.009749054
968	1.009557664
969	1.009373645
970	1.009212664
971	1.008775993
972	1.008613315
973	1.008325886
974	1.008096281
975	1.007595426
976	1.007495775
977	1.006941836
978	1.006861037
979	1.006668626
980	1.006391975
981	1.006100565
982	1.0059034
983	1.005642436
984	1.005450089
985	1.005161133
986	1.004762935
987	1.004698669
988	1.004485688
989	1.004197501
990	1.004046449
991	1.003806708
992	1.00347685
993	1.003192809
994	1.002767437
995	1.002425966
996	1.002273219
997	1.001718747
998	1.001102293
999	1.000820889
